Sample,Grid,Loc,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
S_33_L,KL,J_14,P86,6A,28.8011,3.2321,31.7991,28.9562,0.92757031,,0.5323,0.5089,1.0424,0.7604,0.448221655,0.8167,0.558852427,,,0.1095,P1 A1,5.0115,63.9,48.32212174,60.24906366,,5.402824933,68.88965644
S_33_M,KL,J_14,P88,150,32.0273,2.9758,34.771,32.1468,0.922004167,,0.5497,0.5285,1.0808,0.7884,0.451655629,0.732,0.344938505,0.6465,0.183159886,0.1263,P2 B9,5.9363,65.8,48.98628936,37.4118163,19.86540767,6.438474155,71.36627182
S_35_H,KL,3_2,P80,141,29.5695,2.4207,31.799,29.6521,0.921014583,,0.5335,0.6234,1.1588,0.7931,0.416426051,0.7245,0.306384344,0.6284,0.152229708,0.0942,P2 C1,5.6103,64.5,45.21383902,33.26596014,16.52847967,6.091434497,70.03146445
S_35_L,KL,3_2,P133,168,29.5981,2.4837,31.8882,29.7577,0.922051778,,0.5574,0.5229,1.0806,0.7795,0.424746605,0.73,0.330082234,0.6475,0.172308281,0.1103,P2 D3,4.5982,59.4,46.06537461,35.79866573,18.68748425,4.98692168,64.42154491
S_35_M,KL,3_2,P125,124,28.8168,2.3573,30.9881,28.9065,0.921096169,,0.5262,0.482,1.0103,0.7352,0.433609959,0.6824,0.32406639,0.6067,0.167012448,0.1052,P1 D4,6.1478,64.3,47.0754274,35.18268785,18.13192299,6.674438788,69.80812877
S_37_H,KL,3_6,P76,98,32.4906,2.4325,34.749,32.6108,0.928427544,,0.5369,0.5359,1.0735,0.7866,0.465945139,0.7295,0.35939541,0.633,0.179324501,0.1018,P1 B1,4.1882,63.3,50.18648382,38.71011928,19.31486222,4.511068234,68.17979543
S_37_L,KL,3_6,P101,149,29.0223,2.1831,31.0474,29.1194,0.927625853,,0.5495,0.6976,1.2485,0.9149,0.523795872,0.8348,0.408973624,0.7131,0.234518349,0.1188,P2 B10,4.0903,66.4,56.46628646,44.08820889,25.28156668,4.409428636,71.58058367
S_37_M,KL,3_6,P95,5,23.0226,2.5435,25.3748,23.1474,0.924788677,,0.5518,0.6663,1.2192,0.8448,0.439741858,0.7759,0.336334984,0.6646,0.169293111,0.1007,P2 B7,4.6549,63.5,47.55052359,36.36884756,18.30614014,5.033474258,68.66433552
S_39_H,KL,3_10,P77,158,29.2924,2.7723,31.8652,29.3885,0.928038091,,0.5389,0.6391,1.1811,0.8758,0.527147551,0.7973,0.404318573,0.6831,0.225629792,0.0979,P2 C4,5.5737,63.2,56.80236149,43.56702347,24.31255722,6.005895721,68.10065299
S_39_M,KL,3_10,P59,34,23.225,2.4409,25.5021,23.391,0.932893605,,0.5591,0.7495,1.3112,0.9156,0.475650434,0.8408,0.375850567,0.7148,0.207738492,0.1198,P3 B10,4.9223,55.4,50.98656815,40.28868513,22.26818699,5.276378758,59.38512143
S_41_H,KL,C_10,P107,144,30.8403,2.5728,33.2197,30.9323,0.92482898,,0.5402,0.5643,1.1061,0.8204,0.496544391,0.7582,0.386319334,0.6585,0.209640262,0.1215,P2 E9,5.111,59.8,53.69040136,41.77197536,22.66800314,5.526427167,64.66060351
S_41_L,KL,C_10,P90,42,24.1712,2.8038,26.7609,24.277,0.923639347,,0.5551,0.6198,1.1769,0.8265,0.437883188,0.7607,0.33171991,0.6614,0.171506938,0.1363,P3 C8,6.0166,54.4,47.40845978,35.91444116,18.56860455,6.514014395,58.89744758
S_41_M,KL,C_10,P124,10,23.2377,2.1541,25.244,23.3018,0.931386658,,0.53,0.4746,1.0067,0.7343,0.430467762,0.6817,0.31963759,0.6068,0.16182048,0.093,P1 E9,5.3944,63.4,46.21794382,34.31846342,17.37414628,5.791794368,68.07054777
